genbank_id,sequence_id,organism,country,host,collection_date,sex,lat_lon,note
OQ304249,GFS_2020_00638,Tetramesa sp. 5,"South Africa: Glen Muir, EL",Eragrostis curvula,2020,,32.877 S 28.095 E,
OQ304250,GFS_2020_00645,Tetramesa sp. 7,South Africa: Mondplaas,Hyparrhenia hirta,2020,,33.963 S 24.954 E,
OQ304251,GFS_2020_00667,Tetramesa sp. 4,South Africa: Mondplaas,Eragrostis curvula,2020,,33.963 S 24.954 E,
OQ304252,GFS_2020_00670,Tetramesa sp. 7,South Africa: Mondplaas,Hyparrhenia hirta,2020,,33.963 S 24.954 E,
OQ304253,GFS_2020_00680,Tetramesa sp. 4,South Africa: Mondplaas,Eragrostis curvula,2020,f,33.963 S 24.954 E,
OQ304254,GFS_2020_00702,Tetramesa sp. 7,South Africa: Mondplaas,Hyparrhenia hirta,2020,,33.963 S 24.954 E,
OQ304255,GFS_2020_00720,Tetramesa sp. 7,South Africa: Mondplaas,Hyparrhenia hirta,2020,,33.963 S 24.954 E,
OQ304256,GFS_2020_00043,Tetramesa sp. 1,"South Africa: Valhalla, EL",Sporobolus pyramidalis,2020,,32.872 S 28.084 E,
OQ304257,GFS_2020_00087,Tetramesa sp. 4,"South Africa: Baakens River, Targetkloof, PE",Eragrostis curvula,2020,,33.969 S 25.592 E,
OQ304258,GFS_2021_00245,Tetramesa sp. 4 ,"South Africa: Coombs Valley, GHT",Eragrostis curvula,2021,,33.28 S 26.799 E,pupa
OQ304259,GFS_2021_00255,Tetramesa sp. 5,"South Africa: Coombs Valley, GHT",Eragrostis curvula,2021,,33.28 S 26.799 E,larva
OQ304260,GFS_2021_00307,Tetramesa sp. 5,"South Africa: Coombs Valley, GHT",Eragrostis curvula,2021,,33.28 S 26.799 E,larva
OQ304261,GFS_2021_00329,Tetramesa sp. 1,"South Africa: Drummond, Durban",Sporobolus pyramidalis,2021,m,29.762 S 30.692 E,
OQ304262,GFS_2021_00334,Tetramesa sp. 5,"South Africa: Coombs Valley, GHT",Eragrostis curvula,2021,,33.28 S 26.799 E,larva
OQ304263,GFS_2021_00354,Tetramesa sp. 4,"South Africa: Coombs Valley, GHT",Eragrostis curvula,2021,m,33.28 S 26.799 E,
OQ304264,GFS_2021_00373,Tetramesa sp. 4,"South Africa: Coombs Valley, GHT",Eragrostis curvula,2021,,33.28 S 26.799 E,larva
OQ304265,GFS_2021_00374,Tetramesa sp. 5,"South Africa: Coombs Valley, GHT",Eragrostis curvula,2021,f,33.28 S 26.799 E,
OQ304266,GFS_2021_00411,Tetramesa sp. 5,"South Africa: Coombs Valley, GHT",Eragrostis curvula,2021,,33.28 S 26.799 E,larva
OQ304267,GFS_2021_00726,Tetramesa sp. 11,"South Africa: Mkuze GR turn-off, Mkuze",Eragrostis trichophora,2021,f,27.622 S 32.025 E,
OQ304268,GFS_2021_00730,Tetramesa sp. 10,"South Africa: Mkuze GR turn-off, Mkuze",Eragrostis trichophora,2021,f,27.622 S 32.025 E,
OQ304269,GFS_2021_00745,Tetramesa sp. 10,"South Africa: Mkuze GR turn-off, Mkuze",Eragrostis trichophora,2021,f,27.622 S 32.025 E,
OQ304270,GFS_2021_00746,Tetramesa sp. 14,"South Africa: Khuleni Powerlines, Hluhluwe",Eragrostis superba,2021,f,28.033 S 32.283 E,
OQ304271,GFS_2021_00773,Tetramesa sp. 10,"South Africa: Khuleni Powerlines, Hluhluwe",Eragrostis trichophora,2021,f,28.033 S 32.283 E,
OQ304272,GFS_2021_00786,Tetramesa sp. 14,"South Africa: Khuleni Powerlines, Hluhluwe",Eragrostis superba,2021,f,28.033 S 32.283 E,
OQ304273,GFS_2021_00805,Tetramesa sp. 8,"South Africa: Khuleni Powerlines, Hluhluwe",Cynodon dactylon,2021,m,28.033 S 32.283 E,
OQ304274,GFS_2021_00806,Tetramesa sp. 11,"South Africa: Mkuze GR turn-off, Mkuze",Eragrostis trichophora,2021,m,27.622 S 32.025 E,
OQ304275,GFS_2021_00810,Tetramesa sp. 10,"South Africa: Mkuze GR turn-off, Mkuze",Eragrostis trichophora,2021,f,27.622 S 32.025 E,
OQ304276,GFS_2021_00826,Tetramesa sp. 14,"South Africa: Khuleni Powerlines, Hluhluwe",Eragrostis superba,2021,f,28.033 S 32.283 E,
OQ304277,GFS_2021_00846,Tetramesa sp. 10,"South Africa: Mkuze GR turn-off, Mkuze",Eragrostis trichophora,2021,f,27.622 S 32.025 E,
OQ304278,GFS_2021_00853,Tetramesa sp. 14,"South Africa: Khuleni Powerlines, Hluhluwe",Eragrostis superba,2021,f,28.033 S 32.283 E,
OQ304279,GFS_2021_00883,Tetramesa sp. 10,"South Africa: Mkuze GR turn-off, Mkuze",Eragrostis trichophora,2021,m,27.622 S 32.025 E,
OQ304280,GFS_2021_00886,Tetramesa sp. 9,"South Africa: Khuleni Powerlines, Hluhluwe",Cynodon dactylon,2021,f,28.033 S 32.283 E,
OQ304281,GFS_2021_00887,Tetramesa sp. 13,"South Africa: Khuleni Powerlines, Hluhluwe",Eragrostis superba,2021,f,28.033 S 32.283 E,
OQ304282,GFS_2021_00894,Tetramesa sp. 9,"South Africa: Khuleni Powerlines, Hluhluwe",Cynodon dactylon,2021,m,28.033 S 32.283 E,
OQ304283,GFS_2021_00901,Tetramesa sp. 12,"South Africa: Drummond, Durban",Eustachys paspaloides,2021,f,29.762 S 30.692 E,
OQ304284,GFS_2021_00902,Tetramesa sp. 10,"South Africa: Mkuze GR turn-off, Mkuze",Eragrostis trichophora,2021,m,27.622 S 32.025 E,
OQ304285,GFS_2021_00918,Tetramesa sp. 10,"South Africa: Mkuze Bus stop, Mkuze",Eragrostis trichophora,2021,f,27.622 S 32.025 E,
OQ304286,KCP_2011_00169,Tetramesa romana,South Africa: Bethlehem area,Arundo donax,2021,,28.432 S 28.013 E,
OQ304287,KCP_2011_00173,Tetramesa romana,South Africa: Bethlehem area,Arundo donax,2021,,28.401 S 27.253 E,
OQ304288,KCP_2012_00170,Tetramesa romana,South Africa: Bethlehem area,Arundo donax,2022,,28.511 S 27.302 E,
OQ304289,KCP_2012_00172,Tetramesa romana,South Africa: Bethlehem area,Arundo donax,2022,,28.421 S 27.264 E,
OQ304290,KCP_2020_00012,Tetramesa sp. 4,South Africa: Rietspruit area,Eragrostis curvula,2020,f,28.452 S 27.333 E,
OQ304291,KCP_2020_00019,Tetramesa sp. 4,South Africa: Rietspruit area,Eragrostis curvula,2020,f,28.395 S 27.262 E,
OQ304292,KCP_2020_00032,Tetramesa sp. 4,South Africa: Rietspruit area,Eragrostis curvula,2020,m,28.395 S 27.262 E,
OQ304293,KCP_2020_00033,Tetramesa sp. 5,South Africa: Rietspruit area,Eragrostis curvula,2020,f,28.395 S 27.262 E,
OQ304294,KCP_2020_00036,Tetramesa sp. 4,South Africa: Rietspruit area,Eragrostis curvula,2020,f,28.452 S 27.332 E,
OQ304295,KCP_2020_00037,Tetramesa sp 5,South Africa: Rietspruit area,Eragrostis curvula,2020,m,28.452 S 27.333 E,
OQ304296,KCP_2020_00039,Tetramesa sp. 5,South Africa: Rietspruit area,Eragrostis curvula,2020,m,28.452 S 27.333 E,
OQ304297,KCP_2020_00040,Tetramesa sp. 20,South Africa: Rietspruit area,Eragrostis plana,2020,m,28.451 S 27.335 E,
OQ304298,KCP_2020_00041,Tetramesa sp. 5,South Africa: Rietspruit area,Eragrostis curvula,2020,m,28.452 S 27.333 E,
OQ304299,KCP_2020_00044,Tetramesa sp. 4,South Africa: Rietspruit area,Eragrostis curvula,2020,f,28.452 S 27.332 E,
OQ304300,KCP_2020_00045,Tetramesa sp. 4,South Africa: Rietspruit area,Eragrostis curvula,2020,m,28.452 S 27.332 E,
OQ304301,KCP_2020_00047,Tetramesa sp. 20,South Africa: Rietspruit area,Eragrostis plana,2020,m,28.451 S 27.335 E,
OQ304302,KCP_2020_00048,Tetramesa sp. 4,South Africa: Rietspruit area,Eragrostis curvula,2020,m,28.452 S 27.333 E,
OQ304303,KCP_2020_00052,Tetramesa sp. 4,South Africa: Rietspruit area,Eragrostis curvula,2020,f,28.452 S 27.332 E,
OQ304304,KCP_2020_00054,Tetramesa sp. 20,South Africa: Rietspruit area,Eragrostis plana,2020,f,28.451 S 27.335 E,
OQ304305,KCP_2020_00055,Tetramesa sp. 4,South Africa: Rietspruit area,Eragrostis curvula,2020,f,28.395 S 27.262 E,
OQ304306,KCP_2020_00056,Tetramesa sp. 20,South Africa: Rietspruit area,Eragrostis plana,2020,m,28.451 S 27.335 E,
OQ304307,KCP_2020_00061,Tetramesa sp. 4,South Africa: Rietspruit area,Eragrostis curvula,2020,f,28.395 S 27.262 E,
OQ304308,KCP_2020_00062,Tetramesa sp. 4,South Africa: Rietspruit area,Eragrostis curvula,2020,f,28.452 S 27.333 E,
OQ304309,KCP_2020_00063,Tetramesa sp. 20,South Africa: Rietspruit area,Eragrostis plana,2020,m,28.451 S 27.335 E,
OQ304310,KCP_2020_00075,Tetramesa sp. 16,South Africa: Rietspruit area,Eragrostis tef,2021,f,28.434 S 27.354 E,
OQ304311,KCP_2020_00076,Tetramesa sp. 16,South Africa: Rietspruit area,Eragrostis tef,2021,f,28.434 S 27.354 E,
OQ304312,KCP_2020_00077,Tetramesa sp. 16,South Africa: Rietspruit area,Eragrostis tef,2021,m,28.434 S 27.354 E,
OQ304313,KCP_2020_00079,Tetramesa sp. 16,South Africa: Rietspruit area,Eragrostis tef,2021,f,28.434 S 27.354 E,
OQ304314,KCP_2020_00085,Tetramesa sp. 18,South Africa: Rietspruit area,Eragrostis gummiflua,2021,m,28.442 S 27.362 E,
OQ304315,KCP_2020_00089,Tetramesa sp. 18,South Africa: Rietspruit area,Eragrostis gummiflua,2021,f,28.442 S 27.362 E,
OQ304316,KCP_2020_00090,Tetramesa sp. 18,South Africa: Rietspruit area,Eragrostis gummiflua,2021,f,28.442 S 27.362 E,
OQ304317,KCP_2020_00092,Tetramesa sp. 17,South Africa: Rietspruit area,Eragrostis gummiflua,2021,f,28.442 S 27.362 E,
OQ304318,KCP_2020_00096,Tetramesa sp. 19,South Africa: Rietspruit area,Eragrostis lehmanniana,2021,f,28.442 S 27.362 E,
OQ304319,KCP_2020_00140,Tetramesa sp. 18,South Africa: Rietspruit area,Eragrostis gummiflua,2021,m,28.442 S 27.362 E,
OQ304320,SPY_KZN_060,Tetramesa sp. 1,South Africa: Mkuze,Sporobolus pyramidalis,2017,,27.622 S 32.025 E,
OQ304321,SPY_KZN_064,Tetramesa sp. 1,"South Africa: Westwood Mall, Durban",Sporobolus pyramidalis,2017,,29.829 S 30.959 E,
OQ304322,SPY_KZN_071,Tetramesa sp. 2,South Africa: Mkuze,Sporobolus pyramidalis,2017,,27.622 S 32.025 E,
OQ304323,SPY_KZN_058,Tetramesa sp. 2,South Africa: Mkuze,Sporobolus pyramidalis,,,27.622 S 32.025 E,
OQ304324,SPY_KZN_062,Tetramesa sp. 2,"South Africa: Westwood Mall, Durban",Sporobolus pyramidalis,2018,,29.829 S 30.959 E,
OQ304325,SPY_KZN_068,Tetramesa sp. 1,"South Africa: Westwood Mall, Durban",Sporobolus pyramidalis,2017,,29.829 S 30.959 E,
OQ304326,SPY_LMP_032,Tetramesa sp. 1,South Africa: Nylsvlei,Sporobolus pyramidalis,2017,,24.576 S 28.643 E,
OQ304327,SPY_MPA_095,Eurytomidae,"South Africa: Imvelo Forest, White River",Sporobolus pyramidalis,2017,,25.217 S 30.997 E,
AY317170,AY317170,Bruchophagus ononis,"China: Fanjing Mt.,Guizhou",,,,,
AY317164,AY317164,Bruchophagus sp1,China: Riwoqê Tibet,,,,,
AY317169,AY317169,Bruchophagus sp2,Guyana: Rupununi district: Kurupukari,,,,,
AY317155,AY317155,Bruchophagus gibbus,"China: Dayao Mt., Guangxi",,,,,
AY317163,AY317163,Eurytoma orchidearum,"China: Kangding, Sichuan",,,,,
AY317178,AY317178,Eurytoma verticillata,"China: Baoxing, Sichuan",,,,,
AY317166,AY317166,Eurytoma sp. 2,"China: Riwoqê, Tibet",,,,,
AY317162,AY317162,Eurytoma sp. 3,"China: Tianmu Mt., Zhejiang",,,,,
AY317168,AY317168,Isosomodes gigantenus,Guyana: Mazaruni-Potaro district: Amatuk fall,,,,,
AY317176,AY317176,Phylloxeroxenus phylloxerae,"Indonesia: East of Kalimantan, Kutai",,,,,
AY317179,AY317179,Plutarchia indefensa,"China: Dayao Mt., Guangxi",,,,,
AY317181,AY317181,Sycophila concinna,"China: Napo, Guangxi",,,,,
AY317167,AY317167,,"China: Fanjing Mt., Guizhou",,,,,
AY317159,AY317159,Sycophila taprobanica,"China: Fanjing Mt., Guizhou",,,,,
AY317158,AY317158,Sycophila sp. 1,"China: Xinhe, Xinjiang",,,,,
AY317157,AY317157,Sycophila variegata,"China: Napo, Guangxi",,,,,
