genbank_id,sequence_id,organism,country,host,collection_date,sex,lat_lon,note
OQ302672,GFS_2021_00770,Tetramesa sp. 11,"South Africa: Mkuze GR turn_off, Mkuze",Eragrostis trichophora,2021,f,27.622 S 32.025 E,
OQ302673,GFS_2020_0003,Tetramesa sp. 4,"South Africa: Baakens River, Targetkloof, PE",Eragrostis curvula,2020,,33.969 S 25.592 E,
OQ302674,GFS_2020_00054,Eurytomidae,"South Africa: Baakens River, Targetkloof, PE",Eragrostis curvula,2020,,33.969 S 25.592 E,
OQ302675,GFS_2020_00132,Tetramesa sp. 5,"South Africa: Baakens River, Targetkloof, PE",Eragrostis curvula,2020,,33.969 S 25.592 E,
OQ302676,GFS_2020_00196,Tetramesa sp. 5,"South Africa: Glen Muir, EL",Eragrostis curvula,2020,,32.877 S 28.095 E,
OQ302677,GFS_2020_00528,Tetramesa sp. 7,South Africa: Mondplaas,Hyparrhenia hirta,2020,,33.963 S 24.954 E,
OQ302678,GFS_2020_00554,Tetramesa sp. 4,South Africa: Mondplaas,Eragrostis curvula,2020,m,33.963 S 24.954 E,
OQ302679,GFS_2020_00555,Tetramesa sp. 7,South Africa: Mondplaas,Hyparrhenia hirta,2020,,33.963 S 24.954 E,
OQ302680,GFS_2020_00562,Tetramesa sp. 5,South Africa: Mondplaas,Eragrostis curvula,2020,,33.963 S 24.954 E,
OQ302681,GFS_2020_00574,Tetramesa sp. 7,South Africa: Mondplaas,Hyparrhenia hirta,2020,,33.963 S 24.954 E,
OQ302682,GFS_2020_00576,Tetramesa sp. 7,South Africa: Mondplaas,Hyparrhenia hirta,2020,,33.963 S 24.954 E,
OQ302683,GFS_2020_00595,Tetramesa sp. 5,South Africa: Mondplaas,Eragrostis curvula,2020,m,33.963 S 24.954 E,
OQ302684,GFS_2020_00614,Tetramesa sp. 4,"South Africa: Baakens River, Targetkloof, PE",Eragrostis curvula,2020,,33.969 S 25.592 E,
OQ302685,GFS_2020_00626,Tetramesa sp. 7,South Africa: Mondplaas,Hyparrhenia hirta,2020,,33.963 S 24.954 E,
OQ302686,GFS_2020_00638,Tetramesa sp. 5,"South Africa: Glen Muir, EL",Eragrostis curvula,2020,,32.877 S 28.095 E,
OQ302687,GFS_2020_00645,Tetramesa sp. 7,South Africa: Mondplaas,Hyparrhenia hirta,2020,,33.963 S 24.954 E,
OQ302688,GFS_2020_00670,Tetramesa sp. 7,South Africa: Mondplaas,Hyparrhenia hirta,2020,,33.963 S 24.954 E,
OQ302689,GFS_2020_00702,Tetramesa sp. 7,South Africa: Mondplaas,Hyparrhenia hirta,2020,,33.963 S 24.954 E,
OQ302690,GFS_2020_00720,Tetramesa sp. 7,South Africa: Mondplaas,Hyparrhenia hirta,2020,,33.963 S 24.954 E,
OQ302691,GFS_2020_00043,Tetramesa sp. 1,"South Africa: Valhalla, EL",Sporobolus pyramidalis,2020,,32.872 S 28.084 E,
OQ302692,GFS_2020_00087,Tetramesa sp. 4,"South Africa: Baakens River, Targetkloof, PE",Eragrostis curvula,2020,,33.969 S 25.592 E,
OQ302693,GFS_2021_00245,Tetramesa sp. 4 ,"South Africa: Coombs Valley, GHT",Eragrostis curvula,2021,,33.28 S 26.799 E,pre_pupa
OQ302694,GFS_2021_00255,Tetramesa sp. 5,"South Africa: Coombs Valley, GHT",Eragrostis curvula,2021,,33.28 S 26.799 E,larva
OQ302695,GFS_2021_00307,Tetramesa sp. 5 ,"South Africa: Coombs Valley, GHT",Eragrostis curvula,2021,,33.28 S 26.799 E,larva
OQ302696,GFS_2021_00334,Tetramesa sp. 5 ,"South Africa: Coombs Valley, GHT",Eragrostis curvula,2021,,33.28 S 26.799 E,larva
OQ302697,GFS_2021_00354,Tetramesa sp. 4,"South Africa: Coombs Valley, GHT",Eragrostis curvula,2021,m,33.28 S 26.799 E,
OQ302698,GFS_2021_00373,Tetramesa sp. 4 ,"South Africa: Coombs Valley, GHT",Eragrostis curvula,2021,,33.28 S 26.799 E,larva
OQ302699,GFS_2021_00374,Tetramesa sp. 5,"South Africa: Coombs Valley, GHT",Eragrostis curvula,2021,f,33.28 S 26.799 E,
OQ302700,GFS_2021_00411,Tetramesa sp. 5,"South Africa: Coombs Valley, GHT",Eragrostis curvula,2021,,33.28 S 26.799 E,larva
OQ302701,GFS_2021_00726,Tetramesa sp. 11,"South Africa: Mkuze GR turn_off, Mkuze",Eragrostis trichophora,2021,f,27.622 S 32.025 E,
OQ302702,GFS_2021_00730,Tetramesa sp. 10,"South Africa: Mkuze GR turn_off, Mkuze",Eragrostis trichophora,2021,f,27.622 S 32.025 E,
OQ302703,GFS_2021_00746,Tetramesa sp. 14,"South Africa: Khuleni Powerlines, Hluhluwe",Eragrostis superba,2021,f,28.033 S 32.283 E,
OQ302704,GFS_2021_00773,Tetramesa sp. 10,"South Africa: Khuleni Powerlines, Hluhluwe",Eragrostis trichophora,2021,f,28.033 S 32.283 E,
OQ302705,GFS_2021_00786,Tetramesa sp. 14,"South Africa: Khuleni Powerlines, Hluhluwe",Eragrostis superba,2021,f,28.033 S 32.283 E,
OQ302706,GFS_2021_00806,Tetramesa sp. 11,"South Africa: Mkuze GR turn_off, Mkuze",Eragrostis trichophora,2021,m,27.622 S 32.025 E,
OQ302707,GFS_2021_00810,Tetramesa sp. 10,"South Africa: Mkuze GR turn_off, Mkuze",Eragrostis trichophora,2021,f,27.622 S 32.025 E,
OQ302708,GFS_2021_00826,Tetramesa sp. 14,"South Africa: Khuleni Powerlines, Hluhluwe",Eragrostis superba,2021,f,28.033 S 32.283 E,
OQ302709,GFS_2021_00846,Tetramesa sp. 10,"South Africa: Mkuze GR turn_off, Mkuze",Eragrostis trichophora,2021,f,27.622 S 32.025 E,
OQ302710,GFS_2021_00853,Tetramesa sp. 14,"South Africa: Khuleni Powerlines, Hluhluwe",Eragrostis superba,2021,f,28.033 S 32.283 E,
OQ302711,GFS_2021_00883,Tetramesa sp. 10,"South Africa: Mkuze GR turn_off, Mkuze",Eragrostis trichophora,2021,m,27.622 S 32.025 E,
OQ302712,GFS_2021_00886,Tetramesa sp. 9,"South Africa: Khuleni Powerlines, Hluhluwe",Cynodon dactylon,2021,f,28.033 S 32.283 E,
